organoid_id,Preneurogenic_OV,RPC,RPC_Proliferating1,RPC_Proliferating2,Retina
BMP.H4.PLATE3,0.04819277108433735,0.7951807228915663,0.04819277108433735,0.07228915662650602,0.03614457831325301
BMP.H5.PLATE3,0.029411764705882353,0.8781512605042017,0.012605042016806723,0.05042016806722689,0.029411764705882353
BMP.H6.PLATE3,0.027559055118110236,0.8228346456692913,0.051181102362204724,0.07086614173228346,0.027559055118110236
BMP.H7.PLATE3,0.02666666666666667,0.72,0.05333333333333334,0.08666666666666667,0.11333333333333333
BMP.H9.PLATE3,0.05868544600938967,0.7746478873239436,0.046948356807511735,0.05868544600938967,0.06103286384976526
BMP:CHIR.E1.PLATE2,0.014957264957264958,0.7767094017094017,0.05235042735042735,0.049145299145299144,0.10683760683760683
BMP:CHIR.E10.PLATE2,0.03159692570452605,0.703672075149445,0.08539709649871904,0.03842869342442357,0.14090520922288644
BMP:CHIR.E11.PLATE2,0.06235011990407674,0.7266187050359713,0.08752997601918465,0.08273381294964029,0.0407673860911271
BMP:CHIR.E12.PLATE2,0.029231815091774305,0.7593473827328348,0.055064581917063225,0.06322229775662815,0.09313392250169952
BMP:CHIR.E2.PLATE2,0.04046639231824417,0.6652949245541838,0.09122085048010974,0.06995884773662552,0.13305898491083676
BMP:CHIR.E3.PLATE2,0.05301204819277108,0.7734939759036145,0.0819277108433735,0.024096385542168676,0.06746987951807229
BMP:CHIR.E4.PLATE2,0.017241379310344827,0.6379310344827587,0.1724137931034483,0.05172413793103448,0.1206896551724138
BMP:CHIR.E5.PLATE2,0.029411764705882353,0.7647058823529411,0.07620320855614973,0.04144385026737968,0.08823529411764706
BMP:CHIR.E6.PLATE2,0.022900763358778626,0.7213740458015268,0.08778625954198473,0.08015267175572519,0.08778625954198473
BMP:CHIR.E7.PLATE2,0.021181716833890748,0.7212931995540691,0.06020066889632107,0.0713489409141583,0.12597547380156077
BMP:CHIR.E8.PLATE2,0.035731076633756464,0.7541137752703339,0.076633756464504,0.048895157498824636,0.0846262341325811
BMP:CHIR.E9.PLATE2,0.0395738203957382,0.7128361237950279,0.06443429731100964,0.07255200405885337,0.11060375443937087
BMP:CHIR.F1.PLATE2,0.022935779816513763,0.7412844036697248,0.07431192660550459,0.05412844036697248,0.10733944954128441
BMP:CHIR.F10.PLATE2,0.05660377358490566,0.7924528301886793,0.0,0.03773584905660377,0.11320754716981132
BMP:CHIR.F11.PLATE2,0.03735632183908046,0.7298850574712644,0.08045977011494253,0.07471264367816093,0.07758620689655173
BMP:CHIR.F12.PLATE2,0.0273972602739726,0.8059360730593608,0.05707762557077625,0.04337899543378995,0.06621004566210045
BMP:CHIR.F2.PLATE2,0.03379416282642089,0.761136712749616,0.0706605222734255,0.0629800307219662,0.07142857142857142
BMP:CHIR.F3.PLATE2,0.04132231404958678,0.6914600550964187,0.0881542699724518,0.07575757575757576,0.10330578512396695
